(venv) lukas@pi-lukas:~/preisvergleich-scraper $ python main.py --scraper spar --no-upload
spar suesses-salziges page 23/67: 32 products (32 new)
spar schnelle-kueche-to-go page 23/103: 32 products (32 new)
spar suesses-salziges page 24/67: 32 products (32 new)
spar schnelle-kueche-to-go page 24/103: 32 products (32 new)
spar suesses-salziges page 25/67: 32 products (32 new)
spar schnelle-kueche-to-go page 25/103: 32 products (32 new)
spar suesses-salziges page 26/67: 32 products (32 new)
spar schnelle-kueche-to-go page 26/103: 32 products (32 new)
spar suesses-salziges page 27/67: 32 products (32 new)
spar schnelle-kueche-to-go page 27/103: 32 products (32 new)
spar suesses-salziges page 28/67: 32 products (32 new)
spar schnelle-kueche-to-go page 28/103: 32 products (32 new)
spar suesses-salziges page 29/67: 32 products (32 new)
spar schnelle-kueche-to-go page 29/103: 32 products (32 new)
spar suesses-salziges page 30/67: 32 products (32 new)
spar schnelle-kueche-to-go page 30/103: 32 products (32 new)
spar suesses-salziges page 31/67: 32 products (32 new)
spar schnelle-kueche-to-go page 31/103: 32 products (32 new)
spar suesses-salziges page 32/67: 32 products (32 new)
spar schnelle-kueche-to-go page 32/103: 32 products (32 new)
spar suesses-salziges page 33/67: 32 products (32 new)
spar schnelle-kueche-to-go page 33/103: 32 products (32 new)
spar suesses-salziges page 34/67: 32 products (32 new)
spar schnelle-kueche-to-go page 34/103: 32 products (32 new)
spar suesses-salziges page 35/67: 32 products (32 new)
spar schnelle-kueche-to-go page 35/103: 32 products (0 new)
spar suesses-salziges page 36/67: 32 products (32 new)
spar schnelle-kueche-to-go page 36/103: 32 products (32 new)
spar suesses-salziges page 37/67: 32 products (32 new)
spar schnelle-kueche-to-go page 37/103: 32 products (32 new)
spar suesses-salziges page 38/67: 32 products (32 new)
spar schnelle-kueche-to-go page 38/103: 32 products (32 new)
spar suesses-salziges page 39/67: 32 products (32 new)
spar schnelle-kueche-to-go page 39/103: 32 products (32 new)
spar suesses-salziges page 40/67: 32 products (32 new)
spar schnelle-kueche-to-go page 40/103: 32 products (32 new)
spar suesses-salziges page 41/67: 32 products (32 new)
spar schnelle-kueche-to-go page 41/103: 32 products (32 new)
spar suesses-salziges page 42/67: 32 products (32 new)
spar schnelle-kueche-to-go page 42/103: 32 products (32 new)
spar suesses-salziges page 43/67: 32 products (32 new)
spar schnelle-kueche-to-go page 43/103: 32 products (32 new)
spar suesses-salziges page 44/67: 32 products (32 new)
spar schnelle-kueche-to-go page 44/103: 32 products (32 new)
spar suesses-salziges page 45/67: 32 products (32 new)
spar schnelle-kueche-to-go page 45/103: 32 products (32 new)
spar suesses-salziges page 46/67: 32 products (32 new)
spar schnelle-kueche-to-go page 46/103: 32 products (32 new)
spar suesses-salziges page 47/67: 32 products (32 new)
spar schnelle-kueche-to-go page 47/103: 32 products (32 new)
spar suesses-salziges page 48/67: 32 products (32 new)
spar schnelle-kueche-to-go page 48/103: 32 products (32 new)
spar suesses-salziges page 49/67: 32 products (32 new)
spar schnelle-kueche-to-go page 49/103: 32 products (32 new)
spar suesses-salziges page 50/67: 32 products (32 new)
spar schnelle-kueche-to-go page 50/103: 32 products (32 new)
spar suesses-salziges page 51/67: 32 products (32 new)
spar schnelle-kueche-to-go page 51/103: 32 products (32 new)
spar suesses-salziges page 52/67: 32 products (32 new)
spar schnelle-kueche-to-go page 52/103: 32 products (32 new)
spar suesses-salziges page 53/67: 32 products (32 new)
spar schnelle-kueche-to-go page 53/103: 32 products (32 new)
spar suesses-salziges page 54/67: 32 products (32 new)
spar schnelle-kueche-to-go page 54/103: 32 products (32 new)
spar suesses-salziges page 55/67: 32 products (32 new)
spar schnelle-kueche-to-go page 55/103: 32 products (32 new)
spar suesses-salziges page 56/67: 32 products (32 new)
spar schnelle-kueche-to-go page 56/103: 32 products (32 new)
spar suesses-salziges page 57/67: 32 products (32 new)
spar schnelle-kueche-to-go page 57/103: 32 products (32 new)
spar suesses-salziges page 58/67: 32 products (32 new)
spar schnelle-kueche-to-go page 58/103: 32 products (32 new)
spar suesses-salziges page 59/67: 32 products (32 new)
spar schnelle-kueche-to-go page 59/103: 32 products (32 new)
spar suesses-salziges page 60/67: 32 products (32 new)
spar schnelle-kueche-to-go page 60/103: 32 products (32 new)
spar suesses-salziges page 61/67: 32 products (32 new)
spar schnelle-kueche-to-go page 61/103: 32 products (31 new)
spar suesses-salziges page 62/67: 32 products (32 new)
spar schnelle-kueche-to-go page 62/103: 32 products (32 new)
spar suesses-salziges page 63/67: 32 products (32 new)
spar schnelle-kueche-to-go page 63/103: 32 products (32 new)
spar suesses-salziges page 64/67: 32 products (32 new)
spar schnelle-kueche-to-go page 64/103: 32 products (32 new)
spar suesses-salziges page 65/67: 32 products (32 new)
spar schnelle-kueche-to-go page 65/103: 32 products (32 new)
spar suesses-salziges page 66/67: 32 products (32 new)
spar schnelle-kueche-to-go page 66/103: 32 products (32 new)
spar suesses-salziges page 67/67: 32 products (32 new)
spar suesses-salziges total: 2144 products (52 with null SKU)
spar schnelle-kueche-to-go page 67/103: 32 products (32 new)
spar schnelle-kueche-to-go page 68/103: 32 products (32 new)
spar alkoholfreie-getraenke page 1/49: 32 products (32 new)
spar schnelle-kueche-to-go page 69/103: 32 products (32 new)
spar alkoholfreie-getraenke page 2/49: 32 products (32 new)
spar schnelle-kueche-to-go page 70/103: 32 products (32 new)
spar alkoholfreie-getraenke page 3/49: 32 products (32 new)
spar schnelle-kueche-to-go page 71/103: 32 products (32 new)
spar alkoholfreie-getraenke page 4/49: 32 products (32 new)
spar schnelle-kueche-to-go page 72/103: 32 products (32 new)
spar alkoholfreie-getraenke page 5/49: 32 products (0 new)
spar schnelle-kueche-to-go page 73/103: 32 products (32 new)
spar alkoholfreie-getraenke page 6/49: 32 products (32 new)
spar schnelle-kueche-to-go page 74/103: 32 products (32 new)
spar alkoholfreie-getraenke page 7/49: 32 products (32 new)
spar schnelle-kueche-to-go page 75/103: 32 products (32 new)
spar alkoholfreie-getraenke page 8/49: 32 products (32 new)
spar schnelle-kueche-to-go page 76/103: 32 products (32 new)
spar alkoholfreie-getraenke page 9/49: 32 products (32 new)
spar schnelle-kueche-to-go page 77/103: 32 products (32 new)
spar alkoholfreie-getraenke page 10/49: 32 products (32 new)
spar schnelle-kueche-to-go page 78/103: 32 products (32 new)
spar alkoholfreie-getraenke page 11/49: 32 products (32 new)
spar schnelle-kueche-to-go page 79/103: 32 products (32 new)
spar alkoholfreie-getraenke page 12/49: 32 products (32 new)
spar schnelle-kueche-to-go page 80/103: 32 products (32 new)
spar alkoholfreie-getraenke page 13/49: 32 products (32 new)
spar schnelle-kueche-to-go page 81/103: 32 products (32 new)
spar alkoholfreie-getraenke page 14/49: 32 products (32 new)
spar schnelle-kueche-to-go page 82/103: 32 products (0 new)
spar alkoholfreie-getraenke page 15/49: 32 products (0 new)
spar schnelle-kueche-to-go page 83/103: 32 products (32 new)
spar alkoholfreie-getraenke page 16/49: 32 products (32 new)
spar schnelle-kueche-to-go page 84/103: 32 products (32 new)
spar alkoholfreie-getraenke page 17/49: 32 products (32 new)
spar schnelle-kueche-to-go page 85/103: 32 products (30 new)
spar alkoholfreie-getraenke page 18/49: 32 products (32 new)
spar schnelle-kueche-to-go page 86/103: 32 products (31 new)
spar alkoholfreie-getraenke page 19/49: 32 products (32 new)
spar schnelle-kueche-to-go page 87/103: 32 products (32 new)
